bios,bluetooth,link,name,network,processor,system,usb,video,wireless
Dell 0.5.8,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202103-28885/20.04%20LTS,Lenovo ThinkPad X13 Gen2 AMD,"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)",Intel Corp. 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt USB Controller  (8086:9a17)","nVidia GA107M [GeForce RTX 3050 Ti Mobile]  (10de:25a0),Intel Corp. TigerLake GT2 [Iris Xe Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX201  (8086:43f0)
Dell 0.2.4,Intel Corp. Bluetooth 9460/9560 Jefferson Peak (JfP)  (8087:0aaa),https://ubuntu.com/certified/202101-28596/20.04%20LTS,Dell Latitude 3301,,Intel Corp. 11th Gen Intel(R) Core(TM) i5-11300H @ 3.10GHz,Dell Inspiron 5518,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)","nVidia TU117M [GeForce MX450]  (10de:1f97),Intel Corp. UHD Graphics  (8086:9a49)",Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 0.5.8,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202103-28886/20.04%20LTS,Dell Latitude 3301,"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)",Intel Corp. 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt USB Controller  (8086:9a17)","nVidia GA107  (10de:25a2),Intel Corp. TigerLake GT2 [Iris Xe Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX201  (8086:43f0)
Dell 0.4.6,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202012-28554/20.04%20LTS,Dell Latitude 3301,"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)",Intel Corp. Intel(R) Core(TM) i5-10200H CPU @ 2.40GHz,Dell Dell G15 5510,Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),"nVidia TU117M [GeForce GTX 1650 Mobile / Max-Q]  (10de:1f9d),Intel Corp. 8086:9ba4  (8086:9ba4)",Intel Corp. Wireless AX201  (8086:06f0)
Dell 1.0.0,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202007-28053/20.04%20LTS,Dell Latitude 3301,,Intel Corp. 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Dell Inspiron 5502,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 1.5.0,Atheros Communications 0cf3:e007  (0cf3:e007),https://ubuntu.com/certified/202009-28239/20.04%20LTS,Dell Latitude 3301,"Realtek Semiconductor Co., Ltd. 10ec:2502  (10ec:2502)",Intel Corp. Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Dell G5 5500,"nVidia TU116 USB 3.1 Host Controller  (10de:1aec),Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 2C 2018]  (8086:15e9)","nVidia TU116M [GeForce GTX 1660 Ti Mobile]  (10de:2191),Intel Corp. UHD Graphics  (8086:9bc4)",Qualcomm Atheros Killer N1525 Wireless-AC  (168c:003e)
Dell 1.5.0,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202009-28229/20.04%20LTS,Dell Latitude 3301,"Realtek Semiconductor Co., Ltd. 10ec:2502  (10ec:2502)",Intel Corp. Intel(R) Core(TM) i9-10885H CPU @ 2.40GHz,Dell G5 5500,"nVidia TU106 USB 3.1 Host Controller  (10de:1ada),Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 2C 2018]  (8086:15e9)","nVidia TU106 [GeForce RTX 2060]  (10de:1f15),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Lenovo N39ET21W (1.00 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202104-28987/20.04%20LTS,Dell Latitude 3301,Lenovo Lenovo USB-C to LAN  (17ef:720c),Intel Corp. 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP Thunderbolt NHI #1  (8086:9a1d),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 1.0.0,Atheros Communications 0cf3:e007  (0cf3:e007),https://ubuntu.com/certified/202007-28054/20.04%20LTS,Dell Latitude 3301,,Intel Corp. 11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz,Dell Inspiron 5402,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. 8086:9a78  (8086:9a78),Qualcomm Atheros Killer N1525 Wireless-AC  (168c:003e)
Lenovo R1CET55T(1.24 ),Intel Corp. AX200 Bluetooth  (8087:0029),https://ubuntu.com/certified/202006-27979/20.04%20LTS,Lenovo ThinkPad X13 Gen2,"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)","Advanced Micro Devices, Inc. AMD Ryzen 7 PRO 4750U with Radeon Graphics",Lenovo 20UFZ5D7US,"Advanced Micro Devices [AMD] Renoir USB 3.1  (1022:1639),Realtek Semiconductor Co., Ltd. RTL8111xP EHCI host controller  (10ec:816d),Renesas Technology Corp. uPD720202 USB 3.0 Host Controller  (1912:0015)","Advanced Micro Devices, Inc. [AMD/ATI] Renoir  (1002:1636)",Intel Corp. Wi-Fi 6 AX200  (8086:2723)
